deal_id,deal_name,sponsor,confidence,proposed_mt_number,suggested_mt_number,your_decision,why_flagged,suggestion_basis,base_mt_number,suffix,is_extension_or_followon,extension_number,won_deal,hubspot_url
6622930244,"GHI: Panc, melanoma, gastric, H&N SCC - tissue & plasma (MT1813/MT1875)",GHI,DECIDE,,,,"names two different MT numbers: MT1813, MT1875",,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/6622930244
63027387258,MRK: Atopic derm & normal biopsies - tissue (MT0465 change order #1),MRK,DECIDE,MT0465,,,a change order rather than an extension,,MT0465,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/63027387258
1985215621,MRK: Gastric - tumor & blood (MT WHAT IS IT),MRK,DECIDE,,,,placeholder text sits where the MT number should be,,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/1985215621
44081327894,MRK: Healthy skin - tissue  (MT0424 extension #6),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,6,,https://app.hubspot.com/contacts/7423331/record/0-3/44081327894
59503362190,MRK: Hidradenitis suppurativa biopsies & normal resection skin - tissue & serum (MT9920 and MT0467),MRK,DECIDE,,MT0467,,"names two different MT numbers: MT0467, MT9920","MT9920 is the umbrella for fresh tumour orders, so MT0467 looks like this study's own number",,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/59503362190
8155560275,MRK: Normal - skin & blood (MT0424 extension #1),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/8155560275
8445283954,MRK: Normal - skin & blood (MT0424 extension #2),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,2,,https://app.hubspot.com/contacts/7423331/record/0-3/8445283954
1903541733,MRK: Normal - skin & blood (MT0424),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/1903541733
12652207245,MRK: normal skin - tissue (MT0424 extension #1),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/12652207245
16506130727,MRK: normal skin - tissue (MT0424 extension #4),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,4,,https://app.hubspot.com/contacts/7423331/record/0-3/16506130727
20410275093,MRK: normal skin - tissue (MT0424 extension #5),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,5,,https://app.hubspot.com/contacts/7423331/record/0-3/20410275093
44214833849,MRK: Normal skin - tissue (MT0424 extension #6),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,6,,https://app.hubspot.com/contacts/7423331/record/0-3/44214833849
60142043466,MRK: normal skin - tissue (MT0424 extension #7),MRK,DECIDE,MT0424,,,MT0424 is also used by TRB — MT numbers should not cross sponsors,,MT0424,,yes,7,,https://app.hubspot.com/contacts/7423331/record/0-3/60142043466
57668747105,NTA: Healthy geographically matched to MT2242 and MT2234 - blood (MT2228),NTA,DECIDE,,MT2228,,"names two different MT numbers: MT2228, MT2234, MT2242",the other numbers read as comparator studies; MT2228 is the one in the trailing parentheses,,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/57668747105
6885308738,RCH: NAT - FFPE (Extension of MT2115 and MT5222),RCH,DECIDE,,,,"names two different MT numbers: MT2115, MT5222",,,,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/6885308738
11604553282,SVA: Subject MT0291—099 – Plasma (MT2355),SVA,DECIDE,,MT2355,,"names two different MT numbers: MT0291, MT2355","MT0291 appears as part of a subject ID, not a study number",,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/11604553282
9325427625,TRB: 1-2g healthy trunk / face skin - tissue (MT0424 extension #1),TRB,DECIDE,MT0424,,,MT0424 is also used by MRK — MT numbers should not cross sponsors,,MT0424,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/9325427625
6310483299,TRB: 1-2g healthy trunk / face skin - tissue (MT0424),TRB,DECIDE,MT0424,,,MT0424 is also used by MRK — MT numbers should not cross sponsors,,MT0424,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/6310483299
9872529433,"ABV: Bladder, breast, gastro-esophageal, H&N, NSCLC, ovarian, RCC - tissue & blood",ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/9872529433
5891017523,ABV: CRC - stool,ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/5891017523
43827799048,ABV: Master derm study extension #1,ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,yes,1,yes,https://app.hubspot.com/contacts/7423331/record/0-3/43827799048
8155343727,ABV: NSCLC & CRC - tumor,ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/8155343727
1984654795,ABV: NSCLC / brst / CRC / gast / panc / ovar - tissue,ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/1984654795
14712538486,"ABV: NSCLC, ovarian, RCC - tissue",ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/14712538486
53754337665,ABV: UC & CD - Fresh Tissue Resections,ABV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/53754337665
5430924979,AMG: ASCVD & normal extension - blood,AMG,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,yes,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/5430924979
11842070880,AMG: Normal colon - fresh tissue,AMG,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/11842070880
4280593250,ASH: Cancer - matched blood,ASH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/4280593250
42920467969,"ATC: Breast, CRC, NSCLC - tumor, NAT, blood (extension #1)",ATC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,yes,1,yes,https://app.hubspot.com/contacts/7423331/record/0-3/42920467969
48945975553,"ATC: Breast, CRC, NSCLC - tumor, NAT, blood (extension #2)",ATC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,yes,2,yes,https://app.hubspot.com/contacts/7423331/record/0-3/48945975553
39506152491,"ATC: Breast, CRC, NSCLC, and NAT - tissue, blood (pilot)",ATC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/39506152491
40576558860,"AZA: Solid tumors & NSCLC/HCC NAT - tissue, blood (SEE NOTE)",AZA,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/40576558860
2883561202,"BMS: lung, CRC, panc - tissue",BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2883561202
2830123046,BMS: Matched Pre Post NSCLC - FFPE,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2830123046
3015803021,BMS: Matched Primary Met NSCLC - FFPE,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/3015803021
2888939846,BMS: Neoadjuvant NSCLC - FFPE,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2888939846
3957256877,BMS: Normal - Blood,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/3957256877
2408072705,BMS: Solid Tumor - EDTA,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2408072705
5784508931,BMS: Tumors delivered without PO,BMS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/5784508931
63027912194,BPM: CSU + Normal - Whole Blood,BPM,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/63027912194
38695610650,CNH: Healthy African-American & new onset diabetes - blood,CNH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/38695610650
51083979284,CNH: Medrio entry 152 subjects,CNH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/51083979284
47539108281,CNH: Ovarian & panc cancer - plasma,CNH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/47539108281
14622524981,CNH: Pancreatic cysts - blood,CNH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/14622524981
1893299337,CVC: COVID - serum I,CVC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/1893299337
2891895338,CVC: COVID hospitalized recovered - serum,CVC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2891895338
2946133522,CVC: COVID non-hospitalized - serum,CVC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2946133522
33145634108,DPB: Multi cancer - fresh tumor & FFPE slides,DPB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/33145634108
3278645752,DSN: Symptomatic COVID - NP swab (or result) + saliva,DSN,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/3278645752
11582378887,GHI: 20 healthies - blood,GHI,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/11582378887
2334594571,"GHI: Bladder, Melanoma, Breast - plasma & FFPE",GHI,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2334594571
3357654203,GHI: Lung and breast - FFPE & plasma,GHI,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/3357654203
10199403313,GIL: CRC liver mets - tissue,GIL,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/10199403313
4093847710,"GIL: Healthy colon - FFPE, frozen, RNAlater (Study 1)",GIL,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/4093847710
9543573540,GIL: MM - Bone marrow biopsies,GIL,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/9543573540
2345258580,GIL: Normal - blood,GIL,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2345258580
2946341561,H3B: LR-MDS - FFPE,H3B,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2946341561
2392271473,"HBM: ccRCC, NSCLC, ova, h&n, col, breast, mela, liver - fresh tumor",HBM,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2392271473
1976349399,HFB: COVID - blood,HFB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/1976349399
9691071035,IOS: Normal liver - FFPE,IOS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/9691071035
22423927299,IOV: Fresh tumors - tissue,IOV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/22423927299
7326780456,ISB: Melanoma - tissue & blood,ISB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/7326780456
6624617860,ITV: IO pilot - data,ITV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/6624617860
7466080922,IVX: HCC - tissue & blood,IVX,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/7466080922
10022349139,KSQ: Temp tales for HNSCC & NSCLC study,KSQ,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/10022349139
1852982056,LLY: COVID - serum,LLY,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/1852982056
57506787141,MRK: CLE - blood & tissue,MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/57506787141
2442798159,"MRK: CRC, CRC liver met,gast, panc, H&N, cerv, NSCLC, HCC, bladder - fresh tumor",MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2442798159
60786295123,MRK: Hidradenitis suppurativa - frozen tissue,MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/60786295123
10265660555,MRK: Multi-cancer - tissue & blood,MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/10265660555
8062277200,MRK: Prostate & breast cancer - fresh tumors,MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/8062277200
2366020286,MRK: TNB cancer - FFPE,MRK,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2366020286
11427667885,NGM: Multicancer - tissue,NGM,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/11427667885
2981418163,NGM: Panc - fresh tumor,NGM,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2981418163
4378434981,"NGM: RCC, HNCC, CRC, lung, ovar - fresh tumor",NGM,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/4378434981
5863512944,"NVV: CRC, esophageal, gastric, melanoma, NSCLC, panc, RCC, TNBC - tumor & NAT (see note)",NVV,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/5863512944
2849332740,"RCH: CRC, breast, lung, mela, blad - FFPE",RCH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2849332740
8891893294,RCH: Sister blocks - FFPE,RCH,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/8891893294
6338296995,SAB: Large tumor - tissue & blood,SAB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/6338296995
61209685267,TFS: Breast cancer - fresh tissue,TFS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/61209685267
34632120650,"TFS: NSCLC - FFPE, PO #  CP-888632",TFS,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/34632120650
2658640955,"THB: Lung, gastric - fresh tumor",THB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/2658640955
6938260900,TSC: CRC & RCC - tissue & blood,TSC,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/6938260900
7910405666,"WUX: NSCLC, melanoma, ovarian - tumor & blood (see note)",WUX,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/7910405666
9935626149,"XLX: CRC, HCC, RCC - tumor & blood",XLX,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/9935626149
6023315994,XPB: 10 cases - fresh tissue,XPB,ASSIGN,,,,a won study with no MT number in its name — needs one looked up and typed in,,,,,,yes,https://app.hubspot.com/contacts/7423331/record/0-3/6023315994
47814371684,10x: NSCLC - FFPE (MT0893-XG2502),,CHECK,MT0893-XG2502,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,XG2502,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/47814371684
20199956544,"10G: NAT Small intestine, stomach, colon - FFPE MT8151",10G,CHECK,MT8151,,,the MT number is not inside parentheses,,MT8151,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/20199956544
33422765686,10X: CRC fresh tissue pilot - FFPE and Fresh (MT9920),10X,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/33422765686
39285516191,10X: SCLC - FFPE (MT0893-XG2501),10X,CHECK,MT0893-XG2501,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,XG2501,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/39285516191
7001817703,ABV: 19 samples of MT0310 banked plasma,ABV,CHECK,MT0310,,,the MT number is not inside parentheses,,MT0310,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/7001817703
13810741010,"ABV: Bladder, breast, gastric, H&N, NSCLC, RCC - tissue (MT9920)",ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/13810741010
8786061663,ABV: Breast - matched blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/8786061663
8407621973,"ABV: CRC, NSCLC adeno & SCC, H&N, panc, gastric, RCC, urothelial - tumor, NAT, blood (MT9920)",ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/8407621973
20329171991,ABV: H&N - fresh tissue and blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/20329171991
28225946371,"ABV: Healthy same day (Irvine, CA) - whole blood (see note) MT0339",ABV,CHECK,MT0339,,,the MT number is not inside parentheses,,MT0339,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/28225946371
17452721774,"ABV: Kidney, Ovarian, Endometrial, CRC - fresh tissue (MT9920)",ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/17452721774
32731399332,ABV: Liver mets - tissue (MT9920 ext #1) (See Note),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/32731399332
14412269138,ABV: liver mets - tissue (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/14412269138
6946713686,ABV: Normal bladder (MT9920 - extension #1),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/6946713686
17281920630,ABV: Normal bladder - tissue (MT9920 ext 2),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,yes,2,,https://app.hubspot.com/contacts/7423331/record/0-3/17281920630
3993460132,ABV: Normal bladder - tissue (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/3993460132
5281190995,ABV: NSCLC & CRC - tumor & blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/5281190995
39285524528,ABV: NSCLC - tissue and whole blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/39285524528
13618454347,ABV: One case breast - tissue & blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/13618454347
8560028231,ABV: Post therapy cancer - fresh tissue & blood (MT9920),ABV,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/8560028231
57865654628,ACB: Chronic rhinosinusitis nasal polyp - FFPE (MT0892-RC2601),ACB,CHECK,MT0892-RC2601,,,"a known umbrella number, shared across sponsors on purpose",,MT0892,RC2601,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/57865654628
61267493400,AGT: Breast cancer - FFPE (MT0893-AL2603),AGT,CHECK,MT0893-AL2603,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2603,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/61267493400
61024972095,AGT: Endometrial cancer - FFPE (MT0893-AL2606),AGT,CHECK,MT0893-AL2606,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2606,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/61024972095
61058952022,AGT: Ovarian cancer endometroid - FFPE (MT0893-AL2604),AGT,CHECK,MT0893-AL2604,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2604,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/61058952022
61058951249,AGT: Ovarian clear cell cancer - FFPE (MT0893-AL2605),AGT,CHECK,MT0893-AL2605,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2605,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/61058951249
58519365500,AGT: Stage IIIb+ non squamous NSCLC Grade 1 or 2 - FFPE (MT0893-AL2602),AGT,CHECK,MT0893-AL2602,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2602,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/58519365500
52994217059,AGT: stomach cancer - FFPE (MT0893-AL2601),AGT,CHECK,MT0893-AL2601,,,"a known umbrella number, shared across sponsors on purpose",,MT0893,AL2601,yes,,,https://app.hubspot.com/contacts/7423331/record/0-3/52994217059
8868301061,AMG: CRC - fresh tissue (MT9920),AMG,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/8868301061
33462307161,AMG: CRC - fresh tissue and whole blood MT7883 extension #1 (SEE NOTE),AMG,CHECK,MT7883,,,the MT number is not inside parentheses,,MT7883,,yes,1,,https://app.hubspot.com/contacts/7423331/record/0-3/33462307161
10200871700,AMG: CRC - tissue (MT9920),AMG,CHECK,MT9920,,,"a known umbrella number, shared across sponsors on purpose",,MT9920,,,,,https://app.hubspot.com/contacts/7423331/record/0-3/10200871700
